claim_s,fake_flag
والناس بتقولك أنتم بتلعنوا في الصين ليه ؟ دي بلد كيوت و حطوا صور الدكاترة على المباني و عملولهم التحية و مبقاش عندهم كورونا أنا اسف يا جماعة بس أي حد بشوفه بيقول الكلام ده عن الصين بحس إنه مُغيب و ببقى عاوز ألطشه بالقلم LINK,1
عندما ضرب #فيروس_كورونا الصين قالوا عنه عقوبه ربانية لانها دولة كافرة(حوبه المسلمين)... وعندما وصل بلاد المسلمين قالوا خطة أمريكيه وأرتفع سعر الكمامات والتعقيم اضعاف مضاعفة ودولة الصين الكافرة توزعها على مواطنيها مجانا (مات أبا جهل فاصبح الجهل يتيماً فتبناه العرب) #فيروس_كورونا LINK,1
عاجل | إيقاف الدوري السويسري لأجل غير مسمى ، بسبب فيروس كورونا . LINK,0
RT @USER #نزل_وزنك_اثناء_العزل_من_كورونا ايه طيب LINK,0
RT @USER من أجل سلامتكم ننصح بتأجيل المواعيد والإجراءات الطبية غير الملحة. #الوقاية_من_كورونا LINK,0
بعد نجاح المنشآت #السعودية في تطويق «#كورونا البعارين» الدور على «المستجد» #عكاظ #أن_تكون_أولاً LINK LINK,0
يا #كورونا إني اعلمك كلمات : ما من مسلمٍ تصيبه فيشفى منك الا وقد حطّ الله عنه سيئات ورفعه درجات ، وما من مسلمٍ تصيبه فيموت إلاّ كان ذلك شهادةً له يوم القيامة . . فمالك ولنا ، هلاّ غادرت غير مأسوفٍ عليك ؟,0
إن صح ما يشاع عن عقار الملاريا .. فالدول الأفريقيه هي الگثر إستخداماً له وهو مايفسر عدم إنتشار #كوفيد19 فيها #كورونا LINK,1
مطلوب صديق مايسولف عن كورونا ولاياذينا باشاعات الوتساب LINK,0
ايران الغنية بالموارد كالنفط والغاز..تأتيها المستلزمات الطبية(اغاثة) ولا تستطيع توفيرها لمواطنيها لمواجهه كورونا وليس لديها حتى منشأت طبية مؤهلة، لدرجة ان المصاب بالفايروس يذهب للمستشفى لينتظر الموت..فلا علاج ولا حتى رعاية طبية -هذا هو نموذج الثورة الحقيقي التي تريد تصديره للعرب,1
لازم كلنا نتجمع ونكتب عن أخوتنا المعتقلين في السجون ياترى دول هيعملوا ايه لو واحد بس لا قدر الله أصيب ب #فيروس_كورونا في عنبر مليان معتقلين هيقدروا ازاي يسيطروا على العدد ده ده هيبقى بؤرة لإنتشار الفيروس لكل البلد كمان كل سجان بيتعامل معاهم هيتصاب وينقل الفيروس😊 #خرجوا_المعتقلين,0
#فيروس_كورونا تحصنّا بذي العزة واعتصمنا برب الملكوت وتوكلنا على الحي الذي لا يموت ،اللهم اصرف عننا هذا الوباء وقنا شر الداء ونجنا من الطعن والطاعون والبلاء بلطفك يا لطيف إنك على كل شيء قدير..,0
RT @USER #كلنا_مسؤول البقاء في المنزل سلاحنا الأقوى بإذن الله لمواجهة #فايروس_كورونا,0
#شركة_تنظيف_مجالس_بالرياض من المعروف ان شركة تنظيف مجالس الرياض هي من أحسن الشركات على مستوى كل الشركات الموجودة في مجال التنظيف #رش_ضد_فيروس_كورونا خدماتنا : غسيل كنب نظافة موكيت تنظيف سجاد تنظيف الاستراحات تنظيف بيوت شعر نظافة خيام تنظيف فرش فرشات جوال 0501545009 0508011776 LINK,1
نشكر قيادتنا الرشيدة على قرارها الإحترازي الوقائي الرشيد بتعليق العمرة مؤقتاً بسبب التحرز من من انتقال فايروس كورونا حرصاً على سلامة رواد الحرم المكي من المواطنين والمقيمين وماهي إلا فترة محدودة إن شاء الله LINK,0
RT @USER #كورونا LINK,0
RT @USER عيناها ك فيروس كورونا و قلبى صيني لا يتحمل 😕💔 LINK,0
أزمة #كورونا جعلتني اشاهد المشهد بتأملات جديده و انطباعات جديده و صدمت بسياسات دول كنت أظن فيها أنها تهتم بالإنسان أكثر من المال كل التحيه لدول الخليج اللذين سخروا الأموال لخدمه الأنسان (في هذه الأزمة),0
